"filename", "language", "TypeScript", "JSON with Comments", "JSON", "SQLite", "comment", "blank", "total"
"d:\nextjs\ae-market\apps\api\drizzle.config.ts", "TypeScript", 13, 0, 0, 0, 0, 4, 17
"d:\nextjs\ae-market\apps\api\drizzle\0000_furry_colleen_wing.sql", "SQLite", 0, 0, 0, 33, 3, 1, 37
"d:\nextjs\ae-market\apps\api\drizzle\0001_careless_jasper_sitwell.sql", "SQLite", 0, 0, 0, 101, 9, 0, 110
"d:\nextjs\ae-market\apps\api\drizzle\0002_whole_apocalypse.sql", "SQLite", 0, 0, 0, 14, 1, 0, 15
"d:\nextjs\ae-market\apps\api\drizzle\0003_curious_medusa.sql", "SQLite", 0, 0, 0, 18, 1, 0, 19
"d:\nextjs\ae-market\apps\api\drizzle\0004_nervous_banshee.sql", "SQLite", 0, 0, 0, 2, 0, 0, 2
"d:\nextjs\ae-market\apps\api\drizzle\meta\0000_snapshot.json", "JSON", 0, 0, 257, 0, 0, 0, 257
"d:\nextjs\ae-market\apps\api\drizzle\meta\0001_snapshot.json", "JSON", 0, 0, 1001, 0, 0, 0, 1001
"d:\nextjs\ae-market\apps\api\drizzle\meta\0002_snapshot.json", "JSON", 0, 0, 1102, 0, 0, 0, 1102
"d:\nextjs\ae-market\apps\api\drizzle\meta\0003_snapshot.json", "JSON", 0, 0, 1224, 0, 0, 0, 1224
"d:\nextjs\ae-market\apps\api\drizzle\meta\0004_snapshot.json", "JSON", 0, 0, 1225, 0, 0, 0, 1225
"d:\nextjs\ae-market\apps\api\drizzle\meta\_journal.json", "JSON", 0, 0, 41, 0, 0, 0, 41
"d:\nextjs\ae-market\apps\api\package-lock.json", "JSON", 0, 0, 4698, 0, 0, 1, 4699
"d:\nextjs\ae-market\apps\api\package.json", "JSON", 0, 0, 51, 0, 0, 1, 52
"d:\nextjs\ae-market\apps\api\src\controllers\auth.controller.ts", "TypeScript", 50, 0, 0, 0, 5, 9, 64
"d:\nextjs\ae-market\apps\api\src\controllers\categories.controller.ts", "TypeScript", 107, 0, 0, 0, 41, 18, 166
"d:\nextjs\ae-market\apps\api\src\controllers\product.controller.ts", "TypeScript", 157, 0, 0, 0, 32, 32, 221
"d:\nextjs\ae-market\apps\api\src\controllers\utils.controller.ts", "TypeScript", 28, 0, 0, 0, 1, 5, 34
"d:\nextjs\ae-market\apps\api\src\db.ts", "TypeScript", 9, 0, 0, 0, 1, 3, 13
"d:\nextjs\ae-market\apps\api\src\index.ts", "TypeScript", 19, 0, 0, 0, 3, 6, 28
"d:\nextjs\ae-market\apps\api\src\lib\imagekit.ts", "TypeScript", 11, 0, 0, 0, 0, 4, 15
"d:\nextjs\ae-market\apps\api\src\lib\jwt.ts", "TypeScript", 84, 0, 0, 0, 20, 22, 126
"d:\nextjs\ae-market\apps\api\src\lib\openapi.auth.ts", "TypeScript", 124, 0, 0, 0, 17, 14, 155
"d:\nextjs\ae-market\apps\api\src\lib\openapi.categories.ts", "TypeScript", 187, 0, 0, 0, 7, 14, 208
"d:\nextjs\ae-market\apps\api\src\lib\openapi.products.ts", "TypeScript", 406, 0, 0, 0, 35, 34, 475
"d:\nextjs\ae-market\apps\api\src\lib\openapi.registry.ts", "TypeScript", 48, 0, 0, 0, 9, 14, 71
"d:\nextjs\ae-market\apps\api\src\lib\openapi.utils.ts", "TypeScript", 62, 0, 0, 0, 11, 9, 82
"d:\nextjs\ae-market\apps\api\src\lib\response.ts", "TypeScript", 48, 0, 0, 0, 13, 10, 71
"d:\nextjs\ae-market\apps\api\src\lib\swagger.ts", "TypeScript", 20, 0, 0, 0, 67, 20, 107
"d:\nextjs\ae-market\apps\api\src\middlewares\auth.middleware.ts", "TypeScript", 43, 0, 0, 0, 17, 9, 69
"d:\nextjs\ae-market\apps\api\src\middlewares\errorhandler.middleware.ts", "TypeScript", 12, 0, 0, 0, 6, 6, 24
"d:\nextjs\ae-market\apps\api\src\routes\auth.routes.ts", "TypeScript", 10, 0, 0, 0, 88, 6, 104
"d:\nextjs\ae-market\apps\api\src\routes\categories.routes.ts", "TypeScript", 14, 0, 0, 0, 166, 11, 191
"d:\nextjs\ae-market\apps\api\src\routes\product.routes.ts", "TypeScript", 26, 0, 0, 0, 402, 17, 445
"d:\nextjs\ae-market\apps\api\src\routes\utils.routes.ts", "TypeScript", 9, 0, 0, 0, 1, 5, 15
"d:\nextjs\ae-market\apps\api\src\schema\categories.ts", "TypeScript", 119, 0, 0, 0, 12, 13, 144
"d:\nextjs\ae-market\apps\api\src\schema\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 3
"d:\nextjs\ae-market\apps\api\src\schema\products.ts", "TypeScript", 243, 0, 0, 0, 42, 34, 319
"d:\nextjs\ae-market\apps\api\src\schema\users.ts", "TypeScript", 100, 0, 0, 0, 22, 17, 139
"d:\nextjs\ae-market\apps\api\src\scripts\seed.ts", "TypeScript", 289, 0, 0, 0, 31, 49, 369
